day,path,pv,total_time
"2017-11-27T07:53:40.000Z","/cong-lai-nowebapurinochang-shi-wobian-eru-service-workergamotarasuwebnowei-lai/","1","10.001","0"
"2017-12-03T08:01:02.000Z","/storepattern-for-component-based-web-application/","1","10.001","0"
"2017-11-29T07:21:31.000Z","/storepattern-for-component-based-web-application/","1","10.001","0"
"2017-12-01T01:09:44.000Z","/storepattern-for-component-based-web-application/","1","10.001","0"
"2017-11-21T05:23:04.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-25T14:20:10.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-29T11:17:05.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-21T02:00:34.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-23T10:53:14.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-12-02T10:15:35.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-28T15:32:47.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-28T00:02:36.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-21T23:32:52.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-21T07:56:10.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-12-01T19:06:27.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-23T04:39:49.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-27T12:08:55.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-12-02T08:55:59.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-21T16:54:00.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-24T02:25:46.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-22T04:58:07.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-23T05:27:38.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-21T07:46:55.000Z","/plaid-engineers-development-environment/","1","10.001","0"
"2017-11-21T09:31:09.000Z","/express_graphql_and_vue_apollo_example/","1","10.001","0"
"2017-11-25T06:24:27.000Z","/express_graphql_and_vue_apollo_example/","1","10.001","0"
"2017-12-01T11:51:50.000Z","/plaid-developpers-camp-2017-spring/","1","10.001","0"
"2017-11-22T06:16:55.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-11-28T06:38:00.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-11-21T10:04:58.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-12-04T07:19:18.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-11-22T02:40:01.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-11-27T10:04:09.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-11-30T16:47:01.000Z","/making-line-bot-in-five-minutes/","1","10.001","0"
"2017-11-30T11:42:32.000Z","/freee-plaid-monitoring-meetup/","1","10.001","0"
"2017-11-29T02:59:16.000Z","/making-slack-bot-with-lambda/","1","10.001","0"
"2017-11-29T12:32:01.000Z","/making-slack-bot-with-lambda/","1","10.001","0"
"2017-12-01T12:12:22.000Z","/page-access-visualization/","1","10.001","0"
"2017-11-30T01:04:01.000Z","/extending_chrome_devtools/","1","10.001","0"
"2017-12-01T06:29:45.000Z","/extending_chrome_devtools/","1","10.001","0"
"2017-11-24T10:04:37.000Z","/extending_chrome_devtools/","1","10.001","0"
"2017-11-30T03:52:54.000Z","/extending_chrome_devtools/","1","10.001","0"
"2017-11-22T11:19:40.000Z","/machinelearning-pyspark/","1","10.001","0"
"2017-11-22T02:01:54.000Z","/machinelearning-pyspark/","1","10.001","0"
"2017-11-28T15:52:11.000Z","/realtime_stream_system/","1","10.001","0"
"2017-11-29T08:37:05.000Z","/realtime_stream_system/","1","10.001","0"
"2017-11-30T05:59:23.000Z","/realtime_stream_system/","1","10.001","0"
"2017-12-01T01:44:42.000Z","/author/jumpei_ikegami/","1","10.001","0"
"2017-11-22T02:05:12.000Z","/aws_gcp_multicloud_2/","1","10.001","0"
"2017-11-30T00:33:25.000Z","/streaming-algorithm/","1","10.001","0"
"2017-11-21T09:19:37.000Z","/multi-browesr-test/","1","10.001","0"
"2017-11-28T09:48:27.000Z","/multi-browesr-test/","1","10.001","0"
"2017-11-24T06:52:07.000Z","/multi-browesr-test/","1","10.001","0"
"2017-12-01T02:03:20.000Z","/js_multi_threading/","1","10.001","0"
"2017-11-30T14:46:55.000Z","/banditalgorithms/","1","10.001","0"
"2017-12-01T03:18:38.000Z","/aruduino-datadog/","1","10.001","0"
"2017-12-03T21:36:16.000Z","/aruduino-datadog/","1","10.001","0"
"2017-12-01T11:48:05.000Z","/inside_bigquery/","1","10.001","0"
"2017-11-29T11:00:57.000Z","/inside_bigquery/","1","10.001","0"
"2017-11-30T01:25:57.000Z","/inside_bigquery/","1","10.001","0"
"2017-12-01T03:33:20.000Z","/firebase-webapp/","1","10.001","0"
"2017-12-02T03:30:38.000Z","/firebase-webapp/","1","10.001","0"
"2017-11-30T02:45:04.000Z","/firebase-webapp/","1","10.001","0"
"2017-11-30T06:59:19.000Z","/firebase-webapp/","1","10.001","0"
"2017-11-22T11:51:43.000Z","/firebase-webapp/","1","10.001","0"
"2017-11-28T13:00:06.000Z","/firebase-webapp/","1","10.001","0"
"2017-11-22T07:32:51.000Z","/firebase-webapp/","1","10.001","0"
"2017-11-21T08:52:38.000Z","/firebase-webapp/","1","10.001","0"
